yearID,name,R,innings,BA,OBP,SLG,ISO,TA,LinWeights
1965,Detroit Tigers,680,1458,0.2381,0.309354948,0.3741,0.136,0.467199225,-27.3
1965,Houston Astros,569,1458,0.2369,0.300918964,0.3396,0.1027,0.480691779,-99.38
1965,Kansas City Athletics,585,1458,0.2399,0.306898884,0.3575,0.1176,0.498313253,-55.5
1965,Los Angeles Dodgers,608,1458,0.245,0.307757309,0.3355,0.0905,0.502036904,-88.04
1965,Minnesota Twins,774,1458,0.2544,0.322740814,0.3985,0.1441,0.533333333,61.68
1965,Milwaukee Braves,708,1458,0.256,0.307058824,0.4161,0.1601,0.470432692,36.17
1965,New York Yankees,611,1458,0.2351,0.29786877,0.364,0.1289,0.451712655,-70.51
1965,New York Mets,495,1476,0.2209,0.273272758,0.3271,0.1062,0.404111189,-209.55
1965,Philadelphia Phillies,654,1458,0.2496,0.311192295,0.384,0.1344,0.491626794,-9.84
1965,Pittsburgh Pirates,675,1467,0.2649,0.315315315,0.3816,0.1168,0.51161688,-11.43
1965,San Francisco Giants,682,1467,0.2519,0.31150561,0.3851,0.1332,0.477525375,-5.13
1965,St. Louis Cardinals,707,1458,0.2536,0.312417437,0.3707,0.117,0.511622391,-26.11
1965,Washington Senators,591,1458,0.2283,0.302321669,0.3498,0.1215,0.460153625,-79.45
1966,Atlanta Braves,782,1467,0.2628,0.324359602,0.4239,0.1611,0.495940783,89.47
1966,Baltimore Orioles,755,1440,0.2579,0.3210326,0.4095,0.1516,0.504100338,57.25
1966,Boston Red Sox,655,1458,0.2397,0.30794702,0.3763,0.1366,0.485727878,-25.3
1966,California Angels,604,1458,0.2321,0.300594732,0.3539,0.1218,0.470023981,-86.13
1966,Chicago White Sox,574,1467,0.2309,0.293784341,0.3308,0.0999,0.470532093,-134.17
1966,Chicago Cubs,644,1458,0.2536,0.30996859,0.3804,0.1268,0.486377636,-21.11
1966,Cincinnati Reds,692,1440,0.2597,0.309044801,0.3947,0.1349,0.482716945,-3.67
1966,Cleveland Indians,574,1458,0.2375,0.295408508,0.3601,0.1226,0.430130486,-92.96
1966,Detroit Tigers,719,1458,0.2511,0.319247276,0.4057,0.1545,0.499278499,48.53
1966,Houston Astros,612,1467,0.2549,0.315894702,0.3655,0.1105,0.50565856,-25.47
1966,Kansas City Athletics,564,1440,0.2363,0.292224735,0.3365,0.1002,0.489439184,-120.34
1966,Los Angeles Dodgers,606,1458,0.2557,0.309947467,0.3615,0.1058,0.485009671,-57.78
1966,Minnesota Twins,663,1458,0.2488,0.314077588,0.3818,0.133,0.493766805,-2.9
1966,New York Yankees,611,1440,0.2353,0.29905417,0.3741,0.1388,0.45091352,-50.49
1966,New York Mets,587,1449,0.2394,0.29774798,0.342,0.1026,0.459937061,-118.31
1966,Philadelphia Phillies,696,1458,0.2582,0.320091548,0.3783,0.12,0.51820995,-0.19
1966,Pittsburgh Pirates,759,1458,0.2794,0.327413254,0.4281,0.1487,0.531807229,90.31
1966,San Francisco Giants,675,1449,0.2479,0.300184781,0.3923,0.1444,0.443755958,-28.8
1966,St. Louis Cardinals,571,1458,0.2513,0.295622318,0.3684,0.1172,0.483909702,-69.56
